sample;Plate;Genotype;Environment;HarvestTimePoint;OD
serialdilution_0;1;NA;NA;NA;3.9583
serialdilution_1;1;NA;NA;NA;3.5904
serialdilution_2;1;NA;NA;NA;2.9303
serialdilution_3;1;NA;NA;NA;2.2063
serialdilution_4;1;NA;NA;NA;1.5827
serialdilution_5;1;NA;NA;NA;1.032
serialdilution_6;1;NA;NA;NA;0.6626
serialdilution_7;1;NA;NA;NA;0.4679
serialdilution_8;1;NA;NA;NA;0.321
serialdilution_9;1;NA;NA;NA;0.2274
serialdilution_10;1;NA;NA;NA;0.1799
serialdilution_11;1;NA;NA;NA;0.1434
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.1149
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.1234
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.113
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.1142
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;0.4559
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;2.4007
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;1.1
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;1.0066
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;2.6559
sample;1;KWS_D;Environment_1;HarvestTimePoint_1;0.3931
sample;1;KWS_D;Environment_1;HarvestTimePoint_1;3.0308
sample;1;KWS_D;Environment_1;HarvestTimePoint_1;0.2801
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;0.3419
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;1.326
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;0.1253
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;0.2076
sample;1;KWS_C;Environment_1;HarvestTimePoint_1;0.4644
sample;1;KWS_C;Environment_1;HarvestTimePoint_1;0.387
sample;1;KWS_C;Environment_1;HarvestTimePoint_1;0.1986
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;0.2879
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;0.484
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;1.747
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;0.6888
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;1.9349
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;1.4582
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;2.2039
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;1.1392
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;2.9828
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;0.8207
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.1209
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.1253
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.1199
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.126
sample;1;KWS_A;Environment_1;HarvestTimePoint_1;0.1375
sample;1;KWS_D;Environment_1;HarvestTimePoint_1;0.625
sample;1;KWS_D;Environment_1;HarvestTimePoint_1;0.9611
sample;1;KWS_D;Environment_1;HarvestTimePoint_1;1.5136
sample;1;KWS_D;Environment_1;HarvestTimePoint_1;0.4733
sample;1;KWS_C;Environment_1;HarvestTimePoint_1;0.2208
sample;1;KWS_C;Environment_1;HarvestTimePoint_1;0.1321
sample;1;KWS_C;Environment_1;HarvestTimePoint_1;0.1734
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;0.9049
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;1.6555
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;0.7129
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;0.912
sample;1;KWS_F;Environment_1;HarvestTimePoint_1;0.7222
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;0.9186
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;1.7922
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;0.8536
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;1.594
sample;1;KWS_E;Environment_1;HarvestTimePoint_1;1.323
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;0.7846
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;1.5767
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;2.7435
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;0.5546
sample;1;KWS_G;Environment_1;HarvestTimePoint_1;2.5345
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;0.5955
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;0.5518
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;0.2661
sample;1;KWS_B;Environment_1;HarvestTimePoint_1;0.6389
sample;1;KWS_F;Environment_1;HarvestTimePoint_2;0.6735
sample;1;KWS_F;Environment_1;HarvestTimePoint_2;0.7132
sample;1;KWS_F;Environment_1;HarvestTimePoint_2;0.9986
sample;1;KWS_F;Environment_1;HarvestTimePoint_2;1.7696
sample;1;KWS_F;Environment_1;HarvestTimePoint_2;0.8263
sample;1;KWS_A;Environment_1;HarvestTimePoint_2;0.1189
sample;1;KWS_A;Environment_1;HarvestTimePoint_2;0.1313
sample;1;KWS_A;Environment_1;HarvestTimePoint_2;0.1288
sample;1;KWS_A;Environment_1;HarvestTimePoint_2;0.1217
sample;1;KWS_E;Environment_1;HarvestTimePoint_2;1.1623
sample;1;KWS_E;Environment_1;HarvestTimePoint_2;1.3974
sample;1;KWS_E;Environment_1;HarvestTimePoint_2;1.1812
sample;1;KWS_E;Environment_1;HarvestTimePoint_2;0.1848
sample;1;KWS_E;Environment_1;HarvestTimePoint_2;3.3393
sample;1;KWS_C;Environment_1;HarvestTimePoint_2;0.1735
sample;1;KWS_C;Environment_1;HarvestTimePoint_2;0.368
sample;1;KWS_C;Environment_1;HarvestTimePoint_2;0.5612
sample;1;KWS_C;Environment_1;HarvestTimePoint_2;0.7251
sample;1;KWS_C;Environment_1;HarvestTimePoint_2;0.3118
sample;1;KWS_D;Environment_1;HarvestTimePoint_2;0.9488
bc;1;NA;NA;NA;0.1097
bc;1;NA;NA;NA;0.1118
bc;1;NA;NA;NA;0.1113
bc;1;NA;NA;NA;0.1089
serialdilution_0;2;NA;NA;NA;3.9583
serialdilution_1;2;NA;NA;NA;3.506
serialdilution_2;2;NA;NA;NA;2.7633
serialdilution_3;2;NA;NA;NA;2.0057
serialdilution_4;2;NA;NA;NA;1.4091
serialdilution_5;2;NA;NA;NA;0.9265
serialdilution_6;2;NA;NA;NA;0.6594
serialdilution_7;2;NA;NA;NA;0.4302
serialdilution_8;2;NA;NA;NA;0.3001
serialdilution_9;2;NA;NA;NA;0.2219
serialdilution_10;2;NA;NA;NA;0.1693
serialdilution_11;2;NA;NA;NA;0.1496
sample;2;KWS_D;Environment_1;HarvestTimePoint_2;1.8206
sample;2;KWS_B;Environment_1;HarvestTimePoint_2;0.2935
sample;2;KWS_B;Environment_1;HarvestTimePoint_2;0.3458
sample;2;KWS_G;Environment_1;HarvestTimePoint_2;3.0872
sample;2;KWS_G;Environment_1;HarvestTimePoint_2;1.355
sample;2;KWS_G;Environment_1;HarvestTimePoint_2;1.0532
sample;2;KWS_G;Environment_1;HarvestTimePoint_2;0.9636
sample;2;KWS_G;Environment_1;HarvestTimePoint_2;0.5753
sample;2;KWS_C;Environment_1;HarvestTimePoint_2;0.1645
sample;2;KWS_C;Environment_1;HarvestTimePoint_2;1.3378
sample;2;KWS_C;Environment_1;HarvestTimePoint_2;0.6175
sample;2;KWS_C;Environment_1;HarvestTimePoint_2;0.5399
sample;2;KWS_C;Environment_1;HarvestTimePoint_2;0.7287
sample;2;KWS_F;Environment_1;HarvestTimePoint_2;1.1014
sample;2;KWS_F;Environment_1;HarvestTimePoint_2;0.6211
sample;2;KWS_F;Environment_1;HarvestTimePoint_2;0.9695
sample;2;KWS_F;Environment_1;HarvestTimePoint_2;0.8816
sample;2;KWS_F;Environment_1;HarvestTimePoint_2;0.7376
sample;2;KWS_D;Environment_1;HarvestTimePoint_2;0.7069
sample;2;KWS_D;Environment_1;HarvestTimePoint_2;0.3221
sample;2;KWS_E;Environment_1;HarvestTimePoint_2;1.1535
sample;2;KWS_E;Environment_1;HarvestTimePoint_2;4
sample;2;KWS_E;Environment_1;HarvestTimePoint_2;0.4428
sample;2;KWS_E;Environment_1;HarvestTimePoint_2;2.16
sample;2;KWS_G;Environment_1;HarvestTimePoint_2;0.4624
sample;2;KWS_G;Environment_1;HarvestTimePoint_2;2.0595
sample;2;KWS_G;Environment_1;HarvestTimePoint_2;1.353
sample;2;KWS_G;Environment_1;HarvestTimePoint_2;1.7251
sample;2;KWS_G;Environment_1;HarvestTimePoint_2;1.5209
sample;2;KWS_B;Environment_1;HarvestTimePoint_2;0.136
sample;2;KWS_B;Environment_1;HarvestTimePoint_2;0.199
sample;2;KWS_B;Environment_1;HarvestTimePoint_2;0.1706
sample;2;KWS_B;Environment_1;HarvestTimePoint_2;0.3598
sample;2;KWS_A;Environment_1;HarvestTimePoint_2;0.177
sample;2;KWS_A;Environment_1;HarvestTimePoint_2;0.1207
sample;2;KWS_A;Environment_1;HarvestTimePoint_2;0.1196
sample;2;KWS_A;Environment_1;HarvestTimePoint_2;0.1158
sample;2;KWS_A;Environment_1;HarvestTimePoint_2;0.1786
sample;2;KWS_G;Environment_1;HarvestTimePoint_1;1.3916
sample;2;KWS_G;Environment_1;HarvestTimePoint_1;2.8351
sample;2;KWS_G;Environment_1;HarvestTimePoint_1;1.3177
sample;2;KWS_G;Environment_1;HarvestTimePoint_1;1.5754
sample;2;KWS_G;Environment_1;HarvestTimePoint_1;0.884
sample;2;KWS_B;Environment_1;HarvestTimePoint_1;0.7157
sample;2;KWS_B;Environment_1;HarvestTimePoint_1;0.1862
sample;2;KWS_B;Environment_1;HarvestTimePoint_1;0.7474
sample;2;KWS_B;Environment_1;HarvestTimePoint_1;0.9209
sample;2;KWS_F;Environment_1;HarvestTimePoint_1;1.4162
sample;2;KWS_F;Environment_1;HarvestTimePoint_1;0.7732
sample;2;KWS_F;Environment_1;HarvestTimePoint_1;1.7607
sample;2;KWS_F;Environment_1;HarvestTimePoint_1;0.3183
sample;2;KWS_F;Environment_1;HarvestTimePoint_1;0.7728
sample;2;KWS_D;Environment_1;HarvestTimePoint_1;0.1711
sample;2;KWS_D;Environment_1;HarvestTimePoint_1;0.1215
sample;2;KWS_D;Environment_1;HarvestTimePoint_1;1.5904
sample;2;KWS_D;Environment_1;HarvestTimePoint_1;0.731
sample;2;KWS_D;Environment_1;HarvestTimePoint_1;0.5612
sample;2;KWS_A;Environment_1;HarvestTimePoint_1;0.1222
sample;2;KWS_A;Environment_1;HarvestTimePoint_1;0.1187
sample;2;KWS_A;Environment_1;HarvestTimePoint_1;0.1165
sample;2;KWS_A;Environment_1;HarvestTimePoint_1;0.1237
sample;2;KWS_A;Environment_1;HarvestTimePoint_1;0.1183
sample;2;KWS_E;Environment_1;HarvestTimePoint_1;0.4259
sample;2;KWS_E;Environment_1;HarvestTimePoint_1;0.5282
sample;2;KWS_E;Environment_1;HarvestTimePoint_1;0.6118
sample;2;KWS_E;Environment_1;HarvestTimePoint_1;0.5907
sample;2;KWS_E;Environment_1;HarvestTimePoint_1;0.1822
sample;2;KWS_C;Environment_1;HarvestTimePoint_1;0.366
sample;2;KWS_C;Environment_1;HarvestTimePoint_1;0.2326
sample;2;KWS_C;Environment_1;HarvestTimePoint_1;0.3018
sample;2;KWS_C;Environment_1;HarvestTimePoint_1;0.1543
sample;2;KWS_E;Environment_1;HarvestTimePoint_1;0.4775
sample;2;KWS_E;Environment_1;HarvestTimePoint_1;0.88
sample;2;KWS_E;Environment_1;HarvestTimePoint_1;1.0231
sample;2;KWS_E;Environment_1;HarvestTimePoint_1;0.591
sample;2;KWS_E;Environment_1;HarvestTimePoint_1;2.1496
sample;2;KWS_A;Environment_1;HarvestTimePoint_1;0.1165
sample;2;KWS_A;Environment_1;HarvestTimePoint_1;0.183
sample;2;KWS_A;Environment_1;HarvestTimePoint_1;0.1157
sample;2;KWS_A;Environment_1;HarvestTimePoint_1;0.1251
bc;2;NA;NA;NA;0.1103
bc;2;NA;NA;NA;0.1087
bc;2;NA;NA;NA;0.1121
bc;2;NA;NA;NA;0.1061
serialdilution_0;3;NA;NA;NA;3.9582
serialdilution_1;3;NA;NA;NA;3.4811
serialdilution_2;3;NA;NA;NA;2.7541
serialdilution_3;3;NA;NA;NA;1.9767
serialdilution_4;3;NA;NA;NA;1.3495
serialdilution_5;3;NA;NA;NA;0.9114
serialdilution_6;3;NA;NA;NA;0.6172
serialdilution_7;3;NA;NA;NA;0.4344
serialdilution_8;3;NA;NA;NA;0.3001
serialdilution_9;3;NA;NA;NA;0.2218
serialdilution_10;3;NA;NA;NA;0.1669
serialdilution_11;3;NA;NA;NA;0.1443
sample;3;KWS_F;Environment_1;HarvestTimePoint_1;1.191
sample;3;KWS_F;Environment_1;HarvestTimePoint_1;1.8657
sample;3;KWS_F;Environment_1;HarvestTimePoint_1;1.2988
sample;3;KWS_F;Environment_1;HarvestTimePoint_1;2.2142
sample;3;KWS_F;Environment_1;HarvestTimePoint_1;1.7074
sample;3;KWS_B;Environment_1;HarvestTimePoint_1;0.1738
sample;3;KWS_B;Environment_1;HarvestTimePoint_1;0.1635
sample;3;KWS_B;Environment_1;HarvestTimePoint_1;0.2203
sample;3;KWS_D;Environment_1;HarvestTimePoint_1;1.1764
sample;3;KWS_D;Environment_1;HarvestTimePoint_1;0.1396
sample;3;KWS_G;Environment_1;HarvestTimePoint_1;3.0821
sample;3;KWS_G;Environment_1;HarvestTimePoint_1;1.0039
sample;3;KWS_G;Environment_1;HarvestTimePoint_1;0.2437
sample;3;KWS_G;Environment_1;HarvestTimePoint_1;2.7568
sample;3;KWS_G;Environment_1;HarvestTimePoint_1;2.0595
sample;3;KWS_C;Environment_1;HarvestTimePoint_1;0.6636
sample;3;KWS_C;Environment_1;HarvestTimePoint_1;0.6097
sample;3;KWS_C;Environment_1;HarvestTimePoint_1;0.2023
sample;3;KWS_C;Environment_1;HarvestTimePoint_1;0.6146
sample;3;KWS_D;Environment_1;HarvestTimePoint_2;1.2065
sample;3;KWS_D;Environment_1;HarvestTimePoint_2;2.0977
sample;3;KWS_D;Environment_1;HarvestTimePoint_2;1.3334
sample;3;KWS_D;Environment_1;HarvestTimePoint_2;1.9445
sample;3;KWS_A;Environment_1;HarvestTimePoint_2;0.1211
sample;3;KWS_A;Environment_1;HarvestTimePoint_2;0.1155
sample;3;KWS_A;Environment_1;HarvestTimePoint_2;0.1838
sample;3;KWS_A;Environment_1;HarvestTimePoint_2;0.1224
sample;3;KWS_A;Environment_1;HarvestTimePoint_2;0.142
sample;3;KWS_C;Environment_1;HarvestTimePoint_2;0.1158
sample;3;KWS_C;Environment_1;HarvestTimePoint_2;0.3949
sample;3;KWS_C;Environment_1;HarvestTimePoint_2;0.2712
sample;3;KWS_G;Environment_1;HarvestTimePoint_2;2.6278
sample;3;KWS_G;Environment_1;HarvestTimePoint_2;1.1744
sample;3;KWS_G;Environment_1;HarvestTimePoint_2;1.1438
sample;3;KWS_E;Environment_1;HarvestTimePoint_2;1.9068
sample;3;KWS_E;Environment_1;HarvestTimePoint_2;1.0947
sample;3;KWS_E;Environment_1;HarvestTimePoint_2;4
sample;3;KWS_F;Environment_1;HarvestTimePoint_2;0.9098
sample;3;KWS_F;Environment_1;HarvestTimePoint_2;1.172
sample;3;KWS_F;Environment_1;HarvestTimePoint_2;1.2096
sample;3;KWS_F;Environment_1;HarvestTimePoint_2;0.4482
sample;3;KWS_F;Environment_1;HarvestTimePoint_2;2.0227
sample;3;KWS_B;Environment_1;HarvestTimePoint_2;0.2318
sample;3;KWS_B;Environment_1;HarvestTimePoint_2;0.3683
sample;3;KWS_B;Environment_1;HarvestTimePoint_2;0.1289
sample;3;KWS_F;Environment_1;HarvestTimePoint_2;0.9111
sample;3;KWS_F;Environment_1;HarvestTimePoint_2;1.6084
sample;3;KWS_F;Environment_1;HarvestTimePoint_2;1.5068
sample;3;KWS_F;Environment_1;HarvestTimePoint_2;1.1425
sample;3;KWS_F;Environment_1;HarvestTimePoint_2;0.9488
sample;3;KWS_D;Environment_1;HarvestTimePoint_2;0.7979
sample;3;KWS_D;Environment_1;HarvestTimePoint_2;1.9918
sample;3;KWS_G;Environment_1;HarvestTimePoint_2;2.0681
sample;3;KWS_G;Environment_1;HarvestTimePoint_2;3.2468
sample;3;KWS_G;Environment_1;HarvestTimePoint_2;2.3888
sample;3;KWS_B;Environment_1;HarvestTimePoint_2;0.2031
sample;3;KWS_B;Environment_1;HarvestTimePoint_2;0.6519
sample;3;KWS_B;Environment_1;HarvestTimePoint_2;0.1314
sample;3;KWS_E;Environment_1;HarvestTimePoint_2;0.5978
sample;3;KWS_E;Environment_1;HarvestTimePoint_2;1.6169
sample;3;KWS_E;Environment_1;HarvestTimePoint_2;1.0951
sample;3;KWS_E;Environment_1;HarvestTimePoint_2;1.0228
sample;3;KWS_E;Environment_1;HarvestTimePoint_2;0.6335
sample;3;KWS_A;Environment_1;HarvestTimePoint_2;0.1331
sample;3;KWS_A;Environment_1;HarvestTimePoint_2;0.2978
sample;3;KWS_A;Environment_1;HarvestTimePoint_2;1.2422
sample;3;KWS_A;Environment_1;HarvestTimePoint_2;0.2844
sample;3;KWS_A;Environment_1;HarvestTimePoint_2;0.2601
sample;3;KWS_C;Environment_1;HarvestTimePoint_2;0.9934
sample;3;KWS_C;Environment_1;HarvestTimePoint_2;2.0656
sample;3;KWS_C;Environment_1;HarvestTimePoint_2;0.7474
sample;3;KWS_F;Environment_1;HarvestTimePoint_1;1.7172
sample;3;KWS_F;Environment_1;HarvestTimePoint_1;3.0221
sample;3;KWS_F;Environment_1;HarvestTimePoint_1;1.8081
sample;3;KWS_F;Environment_1;HarvestTimePoint_1;2.1518
sample;3;KWS_F;Environment_1;HarvestTimePoint_1;3.3236
sample;3;KWS_A;Environment_1;HarvestTimePoint_1;0.2136
sample;3;KWS_A;Environment_1;HarvestTimePoint_1;0.1347
sample;3;KWS_A;Environment_1;HarvestTimePoint_1;0.1323
sample;3;KWS_A;Environment_1;HarvestTimePoint_1;0.1322
bc;3;NA;NA;NA;0.1086
bc;3;NA;NA;NA;0.1205
bc;3;NA;NA;NA;0.1096
bc;3;NA;NA;NA;0.1074
serialdilution_0;4;NA;NA;NA;4
serialdilution_1;4;NA;NA;NA;3.3563
serialdilution_2;4;NA;NA;NA;2.85
serialdilution_3;4;NA;NA;NA;2.0719
serialdilution_4;4;NA;NA;NA;1.3967
serialdilution_5;4;NA;NA;NA;0.9371
serialdilution_6;4;NA;NA;NA;0.6757
serialdilution_7;4;NA;NA;NA;0.4752
serialdilution_8;4;NA;NA;NA;0.3057
serialdilution_9;4;NA;NA;NA;0.2172
serialdilution_10;4;NA;NA;NA;0.1642
serialdilution_11;4;NA;NA;NA;0.1431
sample;4;KWS_A;Environment_1;HarvestTimePoint_1;0.1377
sample;4;KWS_B;Environment_1;HarvestTimePoint_1;0.1501
sample;4;KWS_B;Environment_1;HarvestTimePoint_1;1.0028
sample;4;KWS_B;Environment_1;HarvestTimePoint_1;0.2297
sample;4;KWS_B;Environment_1;HarvestTimePoint_1;0.7552
sample;4;KWS_B;Environment_1;HarvestTimePoint_1;0.2783
sample;4;KWS_D;Environment_1;HarvestTimePoint_1;0.1321
sample;4;KWS_D;Environment_1;HarvestTimePoint_1;0.4656
sample;4;KWS_D;Environment_1;HarvestTimePoint_1;0.6743
sample;4;KWS_C;Environment_1;HarvestTimePoint_1;0.186
sample;4;KWS_E;Environment_1;HarvestTimePoint_1;2.6315
sample;4;KWS_E;Environment_1;HarvestTimePoint_1;3.8351
sample;4;KWS_E;Environment_1;HarvestTimePoint_1;1.2854
sample;4;KWS_E;Environment_1;HarvestTimePoint_1;1.4236
sample;4;KWS_E;Environment_1;HarvestTimePoint_1;0.5884
sample;4;KWS_G;Environment_1;HarvestTimePoint_1;1.5276
sample;4;KWS_G;Environment_1;HarvestTimePoint_1;1.6169
sample;4;KWS_G;Environment_1;HarvestTimePoint_1;3.0632
sample;4;KWS_G;Environment_1;HarvestTimePoint_1;1.5468
sample;4;KWS_G;Environment_1;HarvestTimePoint_1;1.2077
sample;4;KWS_F;Environment_1;HarvestTimePoint_1;1.2187
sample;4;KWS_F;Environment_1;HarvestTimePoint_1;0.9613
sample;4;KWS_F;Environment_1;HarvestTimePoint_1;1.5024
sample;4;KWS_F;Environment_1;HarvestTimePoint_1;2.1069
sample;4;KWS_F;Environment_1;HarvestTimePoint_1;0.9631
sample;4;KWS_A;Environment_1;HarvestTimePoint_1;0.1573
sample;4;KWS_A;Environment_1;HarvestTimePoint_1;0.1594
sample;4;KWS_A;Environment_1;HarvestTimePoint_1;0.1215
sample;4;KWS_A;Environment_1;HarvestTimePoint_1;0.1932
sample;4;KWS_A;Environment_1;HarvestTimePoint_1;0.1262
sample;4;KWS_G;Environment_1;HarvestTimePoint_1;3.1493
sample;4;KWS_G;Environment_1;HarvestTimePoint_1;2.5506
sample;4;KWS_G;Environment_1;HarvestTimePoint_1;3.3403
sample;4;KWS_G;Environment_1;HarvestTimePoint_1;1.5913
sample;4;KWS_G;Environment_1;HarvestTimePoint_1;2.718
sample;4;KWS_D;Environment_1;HarvestTimePoint_1;2.4714
sample;4;KWS_E;Environment_1;HarvestTimePoint_1;0.4399
sample;4;KWS_E;Environment_1;HarvestTimePoint_1;1.1886
sample;4;KWS_E;Environment_1;HarvestTimePoint_1;1.4836
